settlement_id,name,admin1,admin2,population,num_buildings,distance_to_grid_km,has_health,has_education,has_nightlight,demand_tier,final_connections,final_demand_mwh,grid_lcoe,minigrid_lcoe,shs_lcoe,grid_cost_per_conn,minigrid_cost_per_conn,shs_cost_per_conn,least_cost_technology,least_cost_lcoe,priority_score
11636,Boukombé,Atakora,Boukombe,204,79,29.23,1,0,0,Tier3,59.2,45.74,2321.24,1034.06,1023.02,3657.78,1404.46,1500.0,SHS,1023.02,0.2643
11508,Kouandé,Atakora,Kouande,39,15,25.65,0,0,0,Tier1,11.3,0.53,162428.04,,2192.23,16069.87,,150.0,SHS,2192.23,0.1131
698,Késsounou,Atlantique,So-Ava,2423,940,12.35,0,0,0,Tier3,702.8,543.22,290.8,1034.06,1000.86,323.03,1404.46,1500.0,Grid,290.8,0.3702
8133,Darnon,Borgou,N'dali,39,15,11.08,0,0,0,Tier2,11.3,1.75,21570.56,,1385.57,7054.49,,400.0,SHS,1385.57,0.1349
14929,Location #5983,Alibori,Banikoara,157,61,37.09,0,0,0,Tier2,45.5,7.04,19904.03,2293.9,1716.17,5900.97,587.51,400.0,SHS,1716.17,0.1006
13462,Location #4600,Atakora,Tanguieta,217,84,17.86,0,0,0,Tier2,62.9,9.73,6748.9,2130.87,1430.08,2185.94,600.89,400.0,SHS,1430.08,0.1319
6927,Ouèssè,Collines,Ouesse,44,17,18.37,0,0,0,Tier1,12.8,0.59,103916.4,,2033.82,10277.65,,150.0,SHS,2033.82,0.1242
14099,Location #6263,Atakora,Materi,147,57,10.15,0,0,0,Tier2,42.6,6.59,5774.54,2130.87,1379.47,1865.88,600.89,400.0,SHS,1379.47,0.1407
5952,Savalou,Collines,Savalou,358,139,48.93,0,0,0,Tier2,103.8,16.05,11837.21,2293.9,1801.85,3498.03,587.51,400.0,SHS,1801.85,0.0909
9926,Djakotomey,Kouffo,Djakotomey,131,51,5.38,0,1,0,Tier2,38.0,5.87,3150.63,1881.62,1136.46,1191.03,627.67,400.0,SHS,1136.46,0.2472
16578,Location #9812,Alibori,Banikoara,82,32,28.17,0,0,0,Tier1,23.8,1.11,85848.16,5309.13,2247.09,8489.02,460.54,150.0,SHS,2247.09,0.111
14307,Location #13924,Atakora,Tanguieta,52,20,24.39,0,0,0,Tier1,15.1,0.7,116450.92,5309.13,2164.83,11518.47,460.54,150.0,SHS,2164.83,0.1155
16760,Malanville,Alibori,Malanville,23,9,7.03,0,0,0,Tier2,6.7,1.03,19535.18,,1145.59,7575.56,,400.0,SHS,1145.59,0.1404
7651,Tchaourou,Borgou,Tchaourou,46,18,0.65,0,0,0,Tier3,13.3,10.31,325.26,,694.42,538.75,,1500.0,Grid,325.26,0.2858
3843,Agbangnizoun,Kouffo,Klouekanme,232,90,2.01,0,0,0,Tier3,67.3,52.01,303.91,957.04,832.24,408.75,1538.34,1500.0,Grid,303.91,0.2955
8874,Djougou,Donga,Djougou,67,26,9.96,0,0,0,Tier2,19.4,3.0,9809.76,1881.62,1161.78,3785.87,627.67,400.0,SHS,1161.78,0.1377
7397,Tchaourou,Borgou,Tchaourou,410,159,16.55,0,1,0,Tier3,118.9,91.92,808.92,1034.06,1006.37,1173.98,1404.46,1500.0,Grid,808.92,0.2798
5688,Location #2993,Zou,Djidja,371,144,33.46,0,0,0,Tier2,107.6,16.64,8071.39,2293.9,1689.88,2376.27,587.51,400.0,SHS,1689.88,0.1147
2675,Djakotomey,Kouffo,Djakotomey,472,183,0.4,0,0,0,Tier3,136.9,105.82,188.72,889.21,694.19,220.5,1705.69,1500.0,Grid,188.72,0.3305
9944,Location #5790,Kouffo,Toviklin,162,63,7.54,0,0,0,Tier2,47.0,7.26,3488.11,1881.62,1148.39,1322.53,627.67,400.0,SHS,1148.39,0.1452
15229,Gambané,Alibori,Kandi,242,94,10.42,0,0,0,Tier2,70.2,10.85,3866.31,2130.87,1381.25,1239.07,600.89,400.0,SHS,1381.25,0.1441
9497,Location #6429,Donga,Copargo,142,55,11.14,0,0,0,Tier2,41.2,6.37,6466.63,2130.87,1385.98,2093.22,600.89,400.0,SHS,1385.98,0.139
10916,Kalalé,Borgou,Kalale,54,21,75.46,0,0,0,Tier1,15.7,0.73,,5798.61,3613.93,,456.51,150.0,SHS,3613.93,0.039
9864,Parakou,Borgou,Parakou,67,26,5.21,0,0,0,Tier2,19.4,3.0,5427.65,1881.62,1135.54,2078.31,627.67,400.0,SHS,1135.54,0.1449
3792,Location #9608,Zou,Ouinhi,82,32,15.06,0,0,0,Tier1,23.8,1.11,46901.9,5309.13,1961.75,4633.63,460.54,150.0,SHS,1961.75,0.1307
5637,Location #3367,Zou,Djidja,320,124,24.76,0,0,0,Tier2,92.8,14.35,6387.61,2130.87,1475.39,2067.26,600.89,400.0,SHS,1475.39,0.1257
12990,Location #14570,Atakora,Kobli,49,19,37.73,0,0,0,Tier1,14.2,0.66,209288.83,,2707.51,18779.82,,150.0,SHS,2707.51,0.0954
12627,Natitingou,Atakora,Natitingou,103,40,9.07,0,0,0,Tier2,29.9,4.62,6059.81,1881.62,1156.87,2324.64,627.67,400.0,SHS,1156.87,0.1405
3275,Sakété,Plateau,Ifangni,345,134,1.6,0,0,0,Tier3,100.1,77.35,227.96,889.21,695.3,311.97,1705.69,1500.0,Grid,227.96,0.3158
206,Hio Houta,Atlantique,Ouidah,1124,436,10.23,0,1,0,Tier3,326.0,251.99,349.56,1034.06,998.07,419.54,1404.46,1500.0,Grid,349.56,0.4097
6046,Kassèhlo,Zou,Djidja,152,59,5.58,0,0,0,Tier2,44.1,6.82,2881.48,1881.62,1137.57,1086.15,627.67,400.0,SHS,1137.57,0.1477
16545,Bambaga,Alibori,Banikoara,278,108,29.85,0,1,0,Tier3,80.6,62.33,1793.53,1034.06,1023.83,2791.08,1404.46,1500.0,SHS,1023.83,0.2163
9988,Lokogba,Kouffo,Lalo,392,152,12.8,0,0,0,Tier2,113.7,17.58,3102.03,2130.87,1396.88,988.03,600.89,400.0,SHS,1396.88,0.1465
7938,Location #9194,Donga,Bassila,88,34,6.02,0,0,0,Tier2,25.5,3.95,4846.61,1881.62,1140.02,1851.9,627.67,400.0,SHS,1140.02,0.1445
1735,Houéyogbé,Mono,Houeyogbe,85,33,3.84,0,0,0,Tier3,24.7,19.06,756.62,957.04,834.27,1290.77,1538.34,1500.0,Grid,756.62,0.1963
2907,Location #7260,Kouffo,Lalo,121,47,9.7,0,0,0,Tier2,35.1,5.43,5570.03,1881.62,1160.34,2133.79,627.67,400.0,SHS,1160.34,0.1403
2763,Location #1969,Atlantique,Toffo,601,233,17.75,0,0,0,Tier3,174.3,134.74,649.82,1034.06,1007.94,912.68,1404.46,1500.0,Grid,649.82,0.2175
2126,Location #5039,Atlantique,Ze,196,76,10.24,0,0,0,Tier2,56.9,8.79,4539.59,2130.87,1380.04,1460.23,600.89,400.0,SHS,1380.04,0.1425
9035,Location #1820,Donga,Djougou,655,254,14.92,0,0,0,Tier3,190.0,146.85,550.63,1034.06,1004.23,749.77,1404.46,1500.0,Grid,550.63,0.2437
16552,Founougo,Alibori,Banikoara,98,38,33.45,0,0,0,Tier1,28.4,1.32,94081.01,5798.61,2604.85,8437.39,456.51,150.0,SHS,2604.85,0.1037
2766,Ita-Djebou,Plateau,Sakete,80,31,1.44,0,0,0,Tier3,23.2,17.94,365.94,889.21,695.15,633.57,1705.69,1500.0,Grid,365.94,0.2779
16033,Batran,Alibori,Banikoara,397,154,13.12,0,0,0,Tier2,115.2,17.8,3130.26,2130.87,1398.95,997.3,600.89,400.0,SHS,1398.95,0.1462
12983,Cobli,Atakora,Materi,46,18,26.99,0,0,0,Tier1,13.3,0.62,145150.85,,2221.49,14359.56,,150.0,SHS,2221.49,0.1114
5773,Savalou,Collines,Savalou,64,25,26.37,0,0,0,Tier1,18.6,0.86,102541.61,5309.13,2207.88,10141.55,460.54,150.0,SHS,2207.88,0.113
712,Houéyogbé,Mono,Houeyogbe,49,19,11.98,0,0,0,Tier2,14.2,2.2,18672.85,,1391.53,6102.66,,400.0,SHS,1391.53,0.134
7284,Tchaourou,Borgou,Tchaourou,59,23,25.02,0,0,0,Tier1,17.1,0.8,105474.33,5309.13,2178.47,10431.87,460.54,150.0,SHS,2178.47,0.1148
909,Location #4959,Atlantique,Ze,198,77,0.48,0,0,0,Tier3,57.4,44.39,205.05,889.21,694.27,258.56,1705.69,1500.0,Grid,205.05,0.3162
4707,Kétou,Plateau,Ketou,232,90,6.65,0,0,0,Tier2,67.3,10.4,2383.89,1881.62,1143.51,892.25,627.67,400.0,SHS,1143.51,0.1493
11538,Kouaba,Atakora,Natitingou,93,36,17.73,0,0,0,Tier1,27.0,1.26,48591.05,5309.13,2019.8,4800.84,460.54,150.0,SHS,2019.8,0.1271
605,Location #5070,Atlantique,Tori-Bossito,193,75,11.08,0,0,0,Tier2,56.0,8.65,4922.63,2130.87,1385.62,1586.05,600.89,400.0,SHS,1385.62,0.1411
